Times,Measures
1278,11.0
1373,-80.9
1468,-69.4
1563,33.2
1658,97.4
1754,42.2
1849,-62.0
1944,-83.2
2038,5.8
2134,90.6
2229,63.9
2324,-39.6
2419,-90.9
2514,-23.6
2610,75.0
2704,81.0
2799,-10.1
2894,-87.4
2990,-51.5
3085,53.2
3180,91.8
3274,19.8
3369,-75.1
3465,-74.1
3560,24.4
3655,94.4
3750,47.3
3846,-55.6
3940,-86.8
4035,-2.8
4130,88.0
4226,68.0
4321,-34.6
4416,-91.9
4511,-30.2
4605,72.8
4701,85.0
4796,-6.5
4891,-89.0
4986,-55.4
5082,48.0
5176,91.7
5271,25.1
5366,-72.6
5462,-80.7
5557,17.4
5652,93.7
5746,53.3
5841,-47.4
5937,-88.1
6032,-11.3
6127,84.7
6222,73.5
6318,-24.2
6412,-92.4
6507,-43.7
6602,65.2
6697,91.2
6793,5.5
6888,-83.5
6982,-61.4
7077,42.7
7173,94.3
7268,30.7
7363,-71.4
7458,-83.9
7554,11.5
7648,93.1
7743,60.6
7838,-44.7
7933,-90.7
8029,-17.8
8124,77.5
8218,78.9
8313,-13.2
8409,-89.7
8504,-50.6
8599,56.7
8694,90.3
8790,14.0
8884,-79.0
8979,-70.8
9074,32.5
9169,95.0
9265,42.0
9360,-60.7
9455,-86.1
9549,2.6
9645,90.3
9740,67.2
9835,-33.9
9930,-91.1
10025,-28.8
10120,74.5
10215,83.2
10310,-8.6
10405,-90.1
10501,-55.4
10596,50.0
10691,95.3
10785,25.6
10881,-75.2
10976,-76.4
11071,22.1
11166,91.5
11261,47.5
11356,-54.0
11451,-86.8
11546,-4.9
11641,86.8
11737,72.0
11832,-28.4
11926,-91.2
12021,-37.4
12116,65.9
12212,87.8
12307,3.3
12402,-83.8
12497,-63.9
12592,41.4
12687,93.9
12782,31.1
12877,-68.0
12973,-80.9
