8Times,Measures
4,0.0
6,0.0
9,0.0
11,0.0
13,0.0
16,0.0
18,0.0
20,0.0
23,0.0
25,0.0
32,0.0
40,0.0
49,0.0
58,0.0
66,0.0
74,0.0
82,0.0
91,0.0
99,0.0
107,0.0
116,0.0
126,0.0
136,0.0
145,0.0
154,0.0
163,0.0
173,0.0
182,0.0
192,0.0
201,0.0
210,0.0
220,0.0
229,0.0
238,0.0
247,0.0
258,0.0
267,0.0
276,0.0
285,0.0
294,0.0
304,0.0
313,0.0
323,0.0
332,0.0
342,0.0
351,0.0
360,0.0
369,0.0
378,0.0
389,0.0
398,0.0
407,0.0
416,0.0
425,0.0
435,0.0
444,0.0
454,0.0
463,0.0
473,0.0
482,0.0
491,0.0
500,0.0
509,0.0
520,0.0
529,0.0
538,0.0
547,0.0
557,0.0
566,0.0
575,0.0
585,0.0
594,0.0
604,0.0
613,0.0
622,0.0
631,0.0
641,0.0
650,0.0
660,0.0
669,0.0
678,0.0
688,0.0
697,0.0
706,0.0
715,0.0
726,0.0
735,0.0
744,0.0
753,0.0
762,0.0
772,0.0
781,0.0
791,0.0
800,0.0
809,0.0
819,0.0
828,0.0
837,0.0
846,0.0
857,0.0
866,0.0
875,0.0
884,0.0
893,0.0
903,0.0
912,0.0
922,0.0
931,0.0
941,0.0
950,0.0
959,0.0
968,0.0
977,0.0
988,0.0
997,0.0
1006,0.0
1016,0.0
1027,0.0
1037,0.0
1047,0.0
1058,0.0
1069,0.0
1079,0.0
1089,0.0
1099,0.0
1110,0.0
1121,0.0
1131,0.0
1141,0.0
1152,0.0
1162,0.0
1172,0.0
1182,0.0
1193,0.0
1204,0.0
1214,0.0
1224,0.0
1234,0.0
1245,0.0
1256,0.0
1266,0.0
1276,0.0
1287,0.0
1297,0.0
1307,0.0
1318,0.0
1329,0.0
1339,0.0
1349,0.0
1359,0.0
1370,0.0
1380,0.0
1391,0.0
1401,0.0
1412,0.0
1422,0.0
1432,0.0
1442,0.0
1454,0.0
1464,0.0
1474,0.0
1484,0.0
1495,0.0
1505,0.0
1515,0.0
1526,0.0
1537,0.0
1547,0.0
1557,0.0
1567,0.0
1577,0.0
1589,0.0
1599,0.0
1609,0.0
1619,0.0
1630,0.0
1640,0.0
1651,0.0
1661,0.0
1672,0.0
1682,0.0
1692,0.0
1702,0.0
1713,0.0
1724,0.0
1734,0.0
1744,0.0
1755,0.0
1765,0.0
1775,0.0
1786,0.0
