Times,Measures
2,13.65
6,13.46
9,13.46
13,13.60
16,13.53
19,13.70
23,13.72
26,14.06
31,15.02
41,15.26
52,16.16
63,15.31
73,15.38
83,15.92
94,15.98
104,15.62
116,20.70
128,15.90
139,15.56
150,15.50
161,15.45
173,14.90
184,14.56
196,15.14
207,15.38
219,14.08
230,14.95
241,18.78
252,14.61
265,14.63
276,14.01
287,13.55
299,15.61
310,13.77
321,13.70
334,32.57
345,14.20
356,15.01
367,12.28
390,200.76
404,201.94
408,12.76
415,14.01
428,25.30
438,13.60
449,13.55
460,14.23
473,14.75
484,14.13
495,14.25
506,13.53
518,13.67
530,14.78
541,15.92
552,16.33
564,16.52
576,21.66
587,19.67
599,19.91
610,17.29
621,16.86
632,16.45
644,18.90
655,16.02
667,15.43
678,15.38
690,15.26
701,17.24
712,15.26
723,15.59
736,14.78
747,14.56
758,14.63
770,13.72
782,32.29
792,13.46
804,13.19
826,198.67
841,201.39
856,200.69
860,14.54
864,13.10
876,11.87
887,13.84
899,12.83
910,13.19
921,15.66
933,14.13
945,12.88
956,13.19
967,15.07
978,14.08
990,14.78
1002,14.03
1014,14.08
1027,14.25
1039,14.73
1051,15.56
1064,18.37
1077,17.17
1089,17.77
1101,21.23
1114,17.77
1127,16.58
1139,17.48
1152,16.64
1164,15.80
1176,15.74
1188,15.73
1202,16.33
1214,14.90
1226,15.19
1239,18.25
1251,15.02
1263,13.65
1276,12.78
1289,14.78
1301,16.21
1313,14.56
1328,38.79
1339,14.68
1351,18.01
1363,14.75
1378,52.99
1388,13.84
1401,14.56
1414,14.44
1426,15.38
1438,12.35
1451,13.60
1464,14.01
1476,13.79
1488,13.24
1501,14.32
1513,13.96
1525,13.77
1539,14.63
1551,16.64
1563,16.16
1575,16.22
1589,17.12
1601,16.46
1613,16.10
1626,21.23
1638,16.40
1650,16.40
1664,18.13
1676,16.28
1688,15.31
1700,16.52
1713,15.74
1726,15.18
1738,14.56
1751,15.38
1763,13.96
1775,13.19
1787,14.85
1801,13.36
1813,13.55
1825,16.64
1849,200.72
1863,201.39
1867,12.88
1878,13.60
1890,14.20
1902,14.73
1914,14.61
1927,12.74
1940,13.79
1952,14.08
1965,12.83
1977,13.14
1989,13.94
2002,14.73
2015,13.19
2027,14.20
2039,17.48
2053,31.98
2065,23.86
2077,17.41
2089,16.58
2103,34.01
2115,18.99
2127,17.00
2140,16.69
2152,15.86
2164,15.92
2177,15.38
2190,15.43
2202,15.21
2214,17.41
2227,15.02
2239,14.51
2251,16.31
2265,14.08
2277,13.67
2289,15.98
2301,13.31
2314,14.03
2337,204.36
2341,14.71
2353,14.08
2365,14.44
2377,11.87
2391,31.38
2403,16.16
2415,14.61
2427,12.83
2440,13.07
2452,13.12
2465,13.89
2478,13.84
2490,13.72
2502,14.32
2514,13.24
2527,13.94
2540,14.73
2552,18.18
2565,17.48
2577,17.53
2590,17.29
2603,16.45
2615,17.77
2627,19.55
2639,16.62
2652,15.49
2665,15.38
2677,17.53
2690,16.88
2702,15.43
2714,14.85
2727,15.38
2740,14.73
2752,17.34
2764,13.60
2777,13.72
2789,13.41
2802,13.67
2814,14.51
2829,52.39
2839,12.83
2851,13.41
2864,11.61
2877,12.83
2889,14.39
2902,14.13
2926,213.96
2929,13.05
2940,13.48
2953,13.00
2965,12.95
2977,13.31
2990,12.86
3003,13.48
3015,13.65
3027,14.20
3040,17.06
3053,17.60
3066,32.45
3078,19.67
3090,16.57
3103,31.64
3116,17.66
3128,17.77
3140,20.39
3153,31.98
3165,17.29
3177,17.12
3190,14.95
3203,14.73
3215,14.63
3227,16.45
3239,16.04
3253,16.21
3265,16.16
3277,14.56
3290,13.19
3302,14.32
3314,14.75
3328,13.87
3350,200.98
3354,13.24
3365,12.54
3378,13.60
3390,12.76
3403,13.02
3416,15.80
3428,12.76
3440,11.46
3452,12.33
3466,13.00
3478,13.36
3490,13.67
3503,13.84
3515,13.72
3528,13.89
3540,15.02
3553,16.81
3565,17.17
3577,17.24
3591,16.45
3603,15.62
3615,16.10
3629,24.66
3640,16.33
3653,16.02
3665,16.82
3678,15.98
3690,15.50
3702,14.68
3715,14.18
3728,14.66
3740,14.56
3752,14.32
3765,13.60
3777,14.73
3789,13.70
3803,15.14
3815,14.44
3827,16.64
3840,16.16
3852,14.37
3875,203.04
3879,15.26
3903,217.96
3906,14.42
3916,13.65
3929,12.74
3942,12.16
3954,13.07
3966,13.41
3979,12.88
3991,12.88
4004,14.39
4017,14.39
4029,13.72
4041,14.68
4055,15.54
4067,16.04
4079,20.39
4091,16.93
4104,15.69
4116,15.78
4130,32.05
4142,17.29
4154,15.62
4166,15.14
4178,14.75
4192,15.07
4204,14.97
4216,14.15
4229,14.73
4241,14.08
4253,14.78
4267,14.01
4279,13.67
4291,12.83
4303,12.35
4316,14.11
4328,12.93
4341,12.35
4354,13.91
4366,13.26
4379,34.49
4391,14.73
4404,12.90
4416,12.88
4428,12.42
4441,12.47
4453,13.00
4466,13.36
4478,12.83
4491,12.76
4503,13.91
4515,14.54
4529,13.74
4541,14.68
4553,14.73
4566,15.50
4578,15.14
4591,15.14
4603,15.19
4616,17.41
4628,15.86
4640,15.07
4653,14.85
4666,14.73
4678,15.09
4690,15.50
4703,17.12
4716,16.31
4728,14.56
4741,15.50
4753,14.73
4765,13.60
4777,15.74
4791,14.56
4803,13.53
4815,13.79
4839,210.33
4854,203.78
4858,14.97
4893,0.00
4915,0.00
4936,0.00
4940,12.47
4943,12.45
4946,12.26
4951,12.35
4954,12.86
4964,12.35
4976,13.12
4988,13.46
5002,13.19
5014,14.20
5026,14.44
5039,14.56
5052,15.56
5064,15.07
5076,14.78
5089,14.83
5101,14.90
5113,15.95
5127,15.97
5139,15.62
5151,15.68
5164,14.83
5176,15.25
5189,16.40
5201,15.38
5214,15.26
5226,14.97
5238,14.44
5251,15.01
5264,13.67
5276,13.31
5288,14.27
5301,14.20
5315,37.06
5337,201.14
5341,15.26
5363,202.32
5366,11.90
5378,14.83
5391,14.27
5403,14.56
5427,201.02
5430,12.45
5441,13.91
5453,13.12
5467,13.36
5479,13.24
5491,13.91
5504,12.83
5516,14.01
5529,14.08
5541,16.22
5554,15.74
5566,14.97
5578,15.56
5592,15.14
5604,14.78
5616,15.31
5628,15.80
5641,15.92
5654,15.62
5666,14.83
5679,14.83
5691,14.78
5703,15.98
5716,17.24
5729,14.56
5741,14.44
5753,14.56
5766,14.73
5778,13.34
5790,12.88
5804,13.19
5816,15.50
5828,13.24
5840,15.98
5854,15.02
5866,13.12
5879,34.73
5891,12.35
5903,18.49
5915,13.77
5928,12.93
5941,16.69
5953,12.47
5965,12.35
5978,12.81
5991,13.93
6003,13.24
6016,13.53
6028,14.08
6040,14.68
6053,15.92
6066,23.32
6078,16.81
6090,15.19
6103,14.78
6116,17.05
6128,15.38
6140,15.43
6153,15.50
6165,15.50
6177,15.54
6191,15.33
6203,17.05
6215,16.10
6227,15.02
6240,14.10
6253,15.57
6265,13.72
6278,13.48
6290,14.44
6302,13.14
6315,13.53
6339,203.26
6342,15.61
6353,15.80
6367,32.05
6378,13.77
6402,202.61
6432,0.00
6454,0.00
6475,0.00
6478,14.71
6482,14.37
6486,14.47
6490,14.61
6493,14.71
6501,16.70
6513,13.89
6526,13.60
6539,14.15
6551,14.95
6563,16.81
6576,16.40
6589,15.56
6601,14.78
6614,15.73
6626,16.28
6638,17.30
6651,16.52
6664,16.09
6676,15.62
6688,15.50
6701,15.38
6713,15.01
6726,15.62
6738,16.16
6751,15.09
6763,14.13
6775,14.27
6789,14.01
6801,13.07
6813,15.92
6825,14.08
6838,12.71
6851,17.65
6863,13.79
6876,13.72
6888,13.84
6900,12.35
6913,13.65
6926,13.24
6938,13.26
6950,11.94
6963,12.71
6975,13.91
6988,14.20
7001,13.60
7013,13.79
7025,13.60
7037,13.65
7051,15.01
7063,15.80
7075,15.80
7088,15.93
7100,15.14
7113,16.52
7126,15.38
7138,15.02
7150,15.09
7162,14.73
7175,15.14
7188,17.24
7200,16.22
7213,16.45
7225,15.86
7237,15.31
7250,15.19
7263,14.08
7275,14.56
7287,13.24
7300,13.19
7312,13.36
7325,13.43
7337,14.49
7350,17.36
7362,12.76
7375,30.90
7388,14.18
7411,203.24
7414,15.73
7437,202.73
7441,14.01
7451,12.33
7464,13.07
7477,14.68
7489,14.78
7501,13.55
7514,13.46
7527,13.62
7539,14.56
7552,15.37
7564,15.02
7576,15.66
7589,15.98
7602,15.19
7614,18.25
7626,15.92
7639,15.49
7652,15.56
7664,15.21
7676,16.04
7689,16.33
7701,15.38
7714,15.80
7727,15.43
7739,14.56
7751,14.37
7763,14.20
7776,14.13
7789,13.34
7813,203.64
7816,14.35
7827,14.32
7839,13.36
7853,14.42
7865,13.79
7878,32.34
7889,13.31
7913,201.36
7917,13.05
7928,13.26
7941,13.48
7953,12.35
7965,13.60
7979,16.45
7991,13.60
8003,13.55
8015,13.38
8028,14.44
8040,15.21
8053,15.26
8066,15.31
8078,15.85
8090,15.85
8102,17.65
8116,21.23
8128,15.02
8140,15.14
8153,14.78
8165,14.51
8177,15.37
8190,16.28
8203,15.80
8215,16.40
8227,15.85
8240,14.49
8253,14.32
8265,13.24
8278,14.73
8290,14.13
8303,18.37
8315,15.61
8328,12.59
8341,36.68
8379,0.00
8400,0.00
8422,0.00
8425,13.24
8429,14.53
8432,13.58
8435,12.91
8439,12.50
8449,13.17
8462,12.59
8474,13.79
8486,14.03
8499,13.84
8511,13.41
8524,13.55
8537,14.15
8549,14.20
8561,15.02
8574,18.08
8587,15.45
8599,15.92
8611,15.61
8624,15.68
8636,15.31
8649,15.43
8662,15.49
8674,16.40
8686,18.44
8698,15.31
8712,16.16
8724,15.21
8736,14.90
8749,14.75
8761,14.56
8773,14.18
8786,13.89
8799,14.13
8811,13.31
8823,12.76
8838,35.43
8848,12.45
8861,13.26
8885,202.59
8889,33.87
8900,31.45
8912,15.83
8935,201.75
8939,13.22
8950,13.12
8963,13.07
8975,14.13
8988,13.89
9000,13.72
9013,14.13
9025,13.60
9037,13.72
9051,14.63
9063,15.45
9075,16.28
9088,15.38
9100,16.28
9113,16.34
9125,16.57
9138,14.90
9150,15.02
9162,15.14
9175,15.73
9188,17.10
9200,15.31
9212,14.83
9225,15.14
9237,14.63
9250,14.47
9263,14.25
9275,14.39
9287,14.61
9299,14.56
9312,13.82
9326,36.63
9337,14.08
9350,19.14
9362,14.90
9374,15.13
9389,35.07
9400,14.90
9412,14.44
9451,0.00
9473,0.00
9494,0.00
9497,18.01
9501,17.65
9505,16.46
9508,15.81
9512,14.42
9522,14.25
9534,13.60
9546,14.20
9559,15.02
9571,15.56
9584,17.17
9596,15.92
9609,16.45
9621,16.45
9633,16.52
9647,15.80
9659,15.50
9671,16.10
9683,14.83
9696,15.73
9708,15.42
9721,14.85
9734,15.14
9746,15.26
9758,15.02
9771,14.01
9785,31.50
9796,14.20
9808,13.91
9821,14.68
9833,14.03
9846,14.85
9858,11.56
9873,54.37
9883,13.38
9895,14.03
9910,37.04
9921,13.60
9933,13.12
9947,28.23
9958,11.94
9970,12.76
9984,14.06
9996,27.03
10008,14.49
10021,13.48
10035,13.67
10049,14.30
10062,14.97
10076,15.43
10089,16.28
10102,16.76
10117,16.40
10130,16.04
10143,16.10
10157,17.89
10170,15.62
10184,14.78
10198,14.78
10211,15.21
10224,14.73
10237,14.25
10252,14.39
10265,14.90
10278,14.73
10292,14.39
10305,13.65
10319,14.68
10333,12.71
10346,12.90
10359,14.32
10373,12.45
10386,12.50
10400,13.91
10414,12.88
10427,12.47
10440,14.78
10455,13.07
10468,13.14
10481,13.91
